School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Non-Binary,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading / Writing,SAT Math,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced,M+E # ELA,M+E % ELA,E # ELA,E % ELA,M # ELA,M % ELA,PM # ELA,PM % ELA,NM # ELA,NM % ELA,No. of Students Included ELA,Part. Rate % ELA,Avg. Scaled Score ELA,SGP ELA,Included In SGP ELA,Ach. PCTL ELA,M+E # MATH,M+E % MATH,E # MATH,E % MATH,M # MATH,M % MATH,PM # MATH,PM % MATH,NM # MATH,NM % MATH,No. of Students Included MATH,Part. Rate % MATH,Avg. Scaled Score MATH,SGP MATH,Included In SGP MATH,Ach. PCTL MATH,Accountability Information,Accountability Percentile (1-99)
Acton-Boxborough: Carol Huebner Early Childhood Program,06000001,Public School,Acton,MA,01720,PK,Acton-Boxborough,06000000,Public School District,     106,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     106,      30,  28.3,       4,   3.8,      38,  35.8,      42,  39.6, , ,4.7,46.2,3.8,35.8,0.9,0.0,8.5,58.5,41.5,0.0,      12,11.8,        127,8.0,100.0,  13.3 to 1,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,
Acton-Boxborough: Luther Conant School,06000030,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      55,      39,      60,      64,      69,      69,      47,       0,       0,       0,       0,       0,       0,       0,     403,     147,  36.5,      60,  14.9,      58,  14.4,     168,  41.7, , ,4.2,56.6,8.9,25.8,0.0,0.0,4.5,54.1,45.7,0.2,     136,20.8,        395,31.0,100.0,  13.0 to 1,83.9,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         178,74.0,          42,18.0,         136,57.0,          57,24.0,           4,2.0,         239,100.0,512.0,63.0,         176,96.0,         183,77.0,          58,24.0,         125,52.0,          49,21.0,           7,3.0,         239,100.0,516.0,58.0,         176,98.0,2022 National Blue Ribbon School – High Performing,95.0
Acton-Boxborough: McCarthy-Towne School,06000015,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      39,      54,      60,      69,      84,      70,      74,       0,       0,       0,       0,       0,       0,       0,     450,      78,  17.3,      37,   8.2,      65,  14.4,     137,  30.4, , ,3.3,11.3,8.7,69.6,0.0,0.0,7.1,48.4,51.6,0.0,     150,21.7,        458,34.4,100.0,  13.1 to 1,90.1,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         170,60.0,          25,9.0,         145,51.0,          93,33.0,          20,7.0,         283,99.0,503.0,58.0,         198,79.0,         155,55.0,          16,6.0,         139,49.0,         103,36.0,          26,9.0,         284,99.0,501.0,53.0,         197,73.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",74.0
Acton-Boxborough: Merriam School,06000010,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      56,      56,      60,      68,      67,      71,      75,       0,       0,       0,       0,       0,       0,       0,     453,      72,  15.9,      26,   5.7,      64,  14.1,     131,  28.9, , ,3.3,15.2,5.7,66.9,0.0,0.0,8.8,49.9,49.9,0.2,     149,22.1,        465,34.0,100.0,  13.3 to 1,79.4,88.2,97.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         164,60.0,          21,8.0,         143,52.0,          95,35.0,          16,6.0,         275,99.0,504.0,52.0,         192,82.0,         150,54.0,          29,11.0,         121,44.0,         108,39.0,          18,7.0,         276,100.0,502.0,54.0,         194,75.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",80.0
Acton-Boxborough: Paul P Gates Elementary School,06000025,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      55,      38,      41,      44,      45,      73,      72,       0,       0,       0,       0,       0,       0,       0,     368,     134,  36.4,      29,   7.9,      29,   7.9,     122,  33.2, , ,1.9,61.4,5.7,26.1,0.0,0.0,4.9,53.0,47.0,0.0,     122,21.6,        372,27.6,100.0,  13.3 to 1,87.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         175,77.0,          64,28.0,         111,49.0,          47,21.0,           5,2.0,         227,100.0,515.0,67.0,         177,99.0,         165,73.0,          60,27.0,         105,46.0,          53,23.0,           8,4.0,         226,100.0,516.0,65.0,         176,98.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",98.0
Acton-Boxborough: Raymond J Grey Junior High,06000405,Public School,Acton,MA,01720,"07,08",Acton-Boxborough,06000000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     404,     421,       0,       0,       0,       0,       0,     825,     151,  18.3,      19,   2.3,     149,  18.1,     251,  30.4, , ,3.3,34.5,6.9,51.0,0.4,0.2,3.6,51.9,48.0,0.1,     579,19.7,        842,71.9,100.0,  11.5 to 1,87.5,97.2,98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         527,65.0,          75,9.0,         452,56.0,         241,30.0,          41,5.0,         809,99.0,506.0,51.0,         771,86.0,         646,80.0,         238,30.0,         408,51.0,         137,17.0,          20,2.0,         803,99.0,517.0,69.0,         764,98.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",93.0
Acushnet: Acushnet Elementary School,00030025,Public School,Acushnet,MA,02743,"PK,K,01,02,03,04",Acushnet,00030000,Public School District,      53,      76,     101,      87,     119,     101,       0,       0,       0,       0,       0,       0,       0,       0,       0,     537,       9,   1.7,       2,   0.4,      79,  14.7,     262,  48.8, , ,1.7,0.9,4.7,89.0,0.0,0.0,3.7,54.6,45.4,0.0,     280,18.6,        541,38.0,100.0,  14.1 to 1,81.6,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         131,60.0,          24,11.0,         107,49.0,          81,37.0,           6,3.0,         218,100.0,506.0,68.0,          93,88.0,         136,62.0,          23,11.0,         113,52.0,          73,33.0,           9,4.0,         218,100.0,508.0,74.0,          93,89.0,2022 National ESEA Distinguished School,90.0
Acushnet: Albert F Ford Middle School,00030305,Public School,Acushnet,MA,02743,"05,06,07,08",Acushnet,00030000,Public School District,       0,       0,       0,       0,       0,       0,      81,     114,     104,      99,       0,       0,       0,       0,       0,     398,       5,   1.3,       2,   0.5,      49,  12.3,     161,  40.5, , ,0.5,0.8,4.0,90.7,0.5,0.0,3.5,51.0,49.0,0.0,     213,17.3,        395,30.0,100.0,  13.3 to 1,80.0,93.3,86.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         165,42.0,          20,5.0,         145,37.0,         175,45.0,          53,13.0,         393,99.0,496.0,42.0,         363,54.0,         176,45.0,          22,6.0,         154,39.0,         180,46.0,          36,9.0,         392,99.0,499.0,48.0,         360,65.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",50.0
Advanced Math and Science Academy Charter (District): Advanced Math and Science Academy Charter School,04300305,Charter School,Marlborough,MA,01752,"06,07,08,09,10,11,12",Advanced Math and Science Academy Charter (District),04300000,Charter District,       0,       0,       0,       0,       0,       0,       0,     133,     142,     127,     134,     140,     143,     146,       0,     965,     233,  24.1,      26,   2.7,      41,   4.2,     248,  25.7, , ,2.0,14.4,7.3,69.9,0.0,0.0,6.4,53.5,46.1,0.4,     495,18.5,        965,80.3,92.5,  12.0 to 1,82.4,78.1,78.4,144.0,98.6,1.4,0.0,0.0,0.0,0.0,     563,1.0,0.2,143.0,143.0,100.0,     227,     410,103.0,78.0,35.0,10.0,1.0,17.0,35.0,94.0,114.0,     150,12.7,87.3,211.0,604.0,634.0,         287,         263,91.6,         250,62.0,          40,10.0,         210,52.0,         136,34.0,          18,4.0,         404,99.0,504.0,53.0,         358,83.0,         259,64.0,          55,14.0,         204,51.0,         131,33.0,          13,3.0,         403,99.0,507.0,56.0,         361,88.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",98.0
Agawam: Agawam Early Childhood Center,00050003,Public School,Agawam,MA,01001,PK,Agawam,00050000,Public School District,     157,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     157,      27,  17.2,      20,  12.7,      38,  24.2,      99,  63.1, , ,0.0,5.7,11.5,78.3,0.6,0.0,3.8,63.7,36.3,0.0,      18,10.8,        186,10.0,100.0,  15.7 to 1,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,
Agawam: Agawam High,00050505,Public School,Agawam,MA,01001,"09,10,11,12",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     277,     252,     263,     220,       5,"   1,017",      92,   9.0,      20,   2.0,     174,  17.1,     487,  47.9, , ,2.7,3.4,8.3,82.5,0.1,0.0,3.0,52.2,47.7,0.1,     578,14.2,"      1,054",97.2,100.0,  10.5 to 1,93.8,96.9,94.1,228.0,92.1,1.3,0.4,0.4,5.7,0.0,"   1,012",19.0,1.9,213.0,181.0,85.0,     143,     255,68.0,45.0,25.0,3.0,2.0,31.0,74.0,93.0,43.0,      14,41.2,58.8,106.0,549.0,538.0,         493,         261,52.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",31.0
Agawam: Agawam Junior High,00050405,Public School,Feeding Hills,MA,01030,"07,08",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     266,     313,       0,       0,       0,       0,       0,     579,      89,  15.4,      11,   1.9,      95,  16.4,     315,  54.4, , ,2.1,4.3,14.2,76.3,0.0,0.0,3.1,53.0,46.8,0.2,     531,12.4,        592,61.5,100.0,   9.4 to 1,90.2,90.2,95.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         149,29.0,          11,2.0,         138,27.0,         290,56.0,          81,16.0,         520,94.0,489.0,43.0,         429,32.0,         153,30.0,          18,3.0,         135,26.0,         298,58.0,          65,13.0,         516,93.0,491.0,40.0,         425,43.0,Low participation rate,28.0
Agawam: Benjamin J Phelps,00050020,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      50,      59,      63,      59,      66,       0,       0,       0,       0,       0,       0,       0,       0,       0,     297,      57,  19.2,      18,   6.1,      36,  12.1,     167,  56.2, , ,1.0,3.0,6.7,84.5,0.0,0.0,4.7,51.2,48.8,0.0,     167,19.3,        307,18.6,100.0,  16.0 to 1,97.2,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          58,48.0,           8,7.0,          50,41.0,          53,44.0,          10,8.0,         121,100.0,499.0,52.0,          59,68.0,          61,50.0,           8,7.0,          53,44.0,          55,45.0,           5,4.0,         121,100.0,502.0,58.0,          59,75.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",62.0
Agawam: Clifford M Granger,00050010,Public School,Feeding Hills,MA,01030,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      68,      55,      83,      61,      46,       0,       0,       0,       0,       0,       0,       0,       0,       0,     313,      36,  11.5,      25,   8.0,      46,  14.7,     157,  50.2, , ,1.6,4.2,15.7,78.3,0.0,0.0,0.3,51.1,48.9,0.0,     176,18.5,        314,19.6,100.0,  16.0 to 1,69.4,100.0,95.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          39,39.0,           3,3.0,          36,36.0,          49,49.0,          12,12.0,         100,97.0,493.0,46.0,          38,43.0,          41,42.0,           1,1.0,          40,41.0,          49,50.0,           8,8.0,          98,97.0,495.0,53.0,          37,53.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",51.0
Agawam: James Clark School,00050030,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      67,      53,      50,      66,      60,       0,       0,       0,       0,       0,       0,       0,       0,       0,     296,      52,  17.6,      26,   8.8,      45,  15.2,     167,  56.4, , ,1.4,5.4,14.2,76.0,0.0,0.0,3.0,50.3,49.7,0.0,     157,19.4,        294,17.4,100.0,  17.0 to 1,88.5,100.0,95.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          50,41.0,           5,4.0,          45,37.0,          58,48.0,          13,11.0,         121,99.0,495.0,38.0,          56,49.0,          45,37.0,           9,7.0,          36,30.0,          61,50.0,          15,12.0,         121,99.0,494.0,43.0,          56,53.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",44.0
Agawam: Roberta G. Doering School,00050303,Public School,Agawam,MA,01001,"05,06,07,08",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,     275,     245,       0,       1,       0,       0,       0,       0,       0,     521,      72,  13.8,      13,   2.5,      98,  18.8,     284,  54.5, , ,2.3,2.3,8.6,83.7,0.0,0.2,2.9,49.7,50.3,0.0,     377,18.7,        543,47.8,100.0,  10.9 to 1,87.5,100.0,96.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         177,35.0,          13,3.0,         164,33.0,         250,50.0,          75,15.0,         502,99.0,492.0,45.0,         449,39.0,         157,32.0,          13,3.0,         144,29.0,         283,57.0,          57,11.0,         497,98.0,492.0,46.0,         443,45.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",42.0
Agawam: Robinson Park,00050025,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      44,      64,      58,      65,      53,       0,       0,       0,       0,       0,       0,       0,       0,       0,     284,      46,  16.2,      38,  13.4,      31,  10.9,     180,  63.4, , ,2.5,3.5,16.2,73.6,0.0,0.0,4.2,52.8,47.2,0.0,     156,19.0,        283,17.5,100.0,  16.3 to 1,85.8,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          43,38.0,           1,1.0,          42,37.0,          57,50.0,          13,12.0,         113,100.0,493.0,46.0,          45,42.0,          37,33.0,           2,2.0,          35,31.0,          54,48.0,          21,19.0,         112,100.0,490.0,39.0,          45,38.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",47.0
Alma del Mar Charter School (District): Alma del Mar Charter School,04090205,Charter School,New Bedford,MA,02746,"K,01,02,03,04,05,06,07,08",Alma del Mar Charter School (District),04090000,Charter District,       0,     102,     102,     101,     103,     103,      51,     149,     140,      93,       0,       0,       0,       0,       0,     944,     438,  46.4,     309,  32.7,     156,  16.5,     817,  86.5, , ,13.0,0.3,60.7,21.7,0.4,0.0,3.8,46.0,54.0,0.0,     280,22.6,        938,73.0,71.2,  12.9 to 1,34.2,87.7,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         199,32.0,          23,4.0,         176,28.0,         307,49.0,         117,19.0,         623,97.0,490.0,47.0,         503,34.0,         166,27.0,           6,1.0,         160,26.0,         338,54.0,         119,19.0,         623,99.0,487.0,40.0,         505,31.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",26.0
Amesbury: Amesbury Elementary,00070005,Public School,Amesbury,MA,01913,"PK,K,01,02,03,04",Amesbury,00070000,Public School District,      24,      63,      58,      64,      53,      55,       0,       0,       0,       0,       0,       0,       0,       0,       0,     317,       0,   0.0,       0,   0.0,      59,  18.6,     131,  41.3, , ,0.6,0.3,6.3,89.6,0.0,0.0,3.2,53.3,46.7,0.0,     143,18.2,        329,27.7,100.0,  11.5 to 1,89.3,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          48,45.0,           8,8.0,          40,38.0,          49,46.0,           9,8.0,         106,100.0,499.0,41.0,          49,66.0,          60,57.0,           8,8.0,          52,50.0,          39,37.0,           6,6.0,         105,99.0,502.0,47.0,          47,76.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",61.0
Amesbury: Amesbury High,00070505,Public School,Amesbury,MA,01913,"09,10,11,12",Amesbury,00070000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     101,     122,     116,     117,       7,     463,      18,   3.9,       9,   1.9,      83,  17.9,     166,  35.9, , ,1.5,1.5,7.1,84.9,0.0,0.2,4.8,49.2,50.5,0.2,     395,12.7,        466,46.8,100.0,   9.9 to 1,91.4,91.4,98.0,115.0,93.0,2.6,0.0,0.0,4.3,0.0,     456,10.0,2.2,108.0,108.0,100.0,      71,     104,43.0,24.0,3.0,1.0,0.0,8.0,16.0,26.0,29.0,      25,23.1,76.9,101.0,574.0,566.0,         228,         224,98.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low participation rate,65.0
Amesbury: Amesbury Innovation High School,00070515,Public School,Amesbury,MA,01913,"09,10,11,12",Amesbury,00070000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      12,      10,       9,      16,       0,      47,       0,   0.0,       0,   0.0,      24,  51.1,      35,  74.5, , ,0.0,0.0,6.4,89.4,0.0,0.0,4.3,55.3,44.7,0.0,      61,9.0,         52,3.2,100.0,  14.9 to 1,74.6,79.9,85.7,18.0,72.2,5.6,0.0,0.0,22.2,0.0,      47,5.0,10.6,15.0,15.0,100.0,,,,,,,,,,,,,,,,,,          25,          25,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,
Amesbury: Amesbury Middle,00070013,Public School,Amesbury,MA,01913,"05,06,07,08",Amesbury,00070000,Public School District,       0,       0,       0,       0,       0,       0,     135,     155,     169,     156,       0,       0,       0,       0,       0,     615,      19,   3.1,       6,   1.0,     137,  22.3,     291,  47.3, , ,2.0,2.0,9.8,81.1,0.2,0.0,5.0,56.7,43.3,0.0,     401,15.6,        627,52.5,100.0,  11.7 to 1,89.3,95.1,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         231,39.0,          16,3.0,         215,36.0,         261,44.0,         106,18.0,         598,99.0,493.0,41.0,         540,41.0,         231,39.0,          24,4.0,         207,35.0,         265,45.0,          91,16.0,         587,98.0,494.0,50.0,         527,50.0,Low participation rate,46.0
Amesbury: Charles C Cashman Elementary,00070010,Public School,Amesbury,MA,01913,"PK,K,01,02,03,04",Amesbury,00070000,Public School District,      13,      73,      80,      59,      56,      74,       0,       0,       0,       0,       0,       0,       0,       0,       0,     355,      25,   7.0,      14,   3.9,      85,  23.9,     174,  49.0, , ,1.4,0.3,14.1,79.4,0.3,0.3,4.2,49.9,50.1,0.0,     177,17.1,        373,32.7,100.0,  10.9 to 1,90.8,96.9,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          46,36.0,           3,2.0,          43,34.0,          65,51.0,          17,13.0,         128,98.0,493.0,45.0,          67,44.0,          52,41.0,           3,2.0,          49,38.0,          46,36.0,          30,23.0,         128,100.0,492.0,45.0,          65,46.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",40.0
Amherst: Crocker Farm Elementary,00080009,Public School,Amherst,MA,01002,"PK,K,01,02,03,04,05,06",Amherst,00080000,Public School District,      55,      32,      48,      32,      56,      40,      47,      48,       0,       0,       0,       0,       0,       0,       0,     358,      94,  26.3,      40,  11.2,      79,  22.1,     171,  47.8, , ,12.3,12.3,17.6,47.5,0.3,0.3,9.8,50.3,48.3,1.4,     114,16.7,        363,39.5,97.5,   9.1 to 1,83.0,95.4,97.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          90,51.0,          16,9.0,          74,42.0,          56,32.0,          29,17.0,         175,98.0,499.0,55.0,          68,67.0,          81,48.0,          13,8.0,          68,40.0,          67,40.0,          21,12.0,         169,95.0,498.0,53.0,          67,62.0,Low participation rate,50.0
Amherst: Fort River Elementary,00080020,Public School,Amherst,MA,01002,"K,01,02,03,04,05,06",Amherst,00080000,Public School District,       0,      55,      52,      61,      41,      38,      60,      44,       0,       0,       0,       0,       0,       0,       0,     351,      92,  26.2,      42,  12.0,      85,  24.2,     175,  49.9, , ,7.1,11.4,29.9,43.9,0.3,0.3,7.1,53.6,46.4,0.0,     109,18.5,        345,35.9,91.6,   9.8 to 1,91.4,94.4,97.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          71,45.0,           7,4.0,          64,41.0,          63,40.0,          23,15.0,         157,91.0,497.0,41.0,          74,57.0,          67,44.0,          10,7.0,          57,37.0,          48,31.0,          38,25.0,         153,89.0,492.0,50.0,          70,46.0,Low participation rate,40.0
Amherst: Wildwood Elementary,00080050,Public School,Amherst,MA,01002,"K,01,02,03,04,05,06",Amherst,00080000,Public School District,       0,      40,      42,      47,      48,      60,      47,      60,       0,       0,       0,       0,       0,       0,       0,     344,      93,  27.0,      37,  10.8,      74,  21.5,     197,  57.3, , ,15.7,9.6,21.5,45.9,0.6,0.0,6.7,47.1,52.3,0.6,     114,18.0,        335,37.6,97.3,   9.2 to 1,89.4,97.3,95.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          94,48.0,          16,8.0,          78,40.0,          67,34.0,          36,18.0,         197,94.0,497.0,55.0,          89,59.0,          76,38.0,          11,6.0,          65,33.0,          65,33.0,          57,29.0,         198,94.0,490.0,60.0,          89,38.0,Low participation rate,53.0
Amherst-Pelham: Amherst Regional High,06050505,Public School,Amherst,MA,01002,"09,10,11,12",Amherst-Pelham,06050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     207,     215,     206,     226,       4,     858,     170,  19.8,      74,   8.6,     186,  21.7,     383,  44.6, , ,8.4,9.1,18.2,55.7,0.0,0.0,8.6,52.6,46.9,0.6,     624,13.6,        868,70.2,94.1,  12.2 to 1,81.9,98.6,89.7,224.0,94.2,1.8,0.4,0.0,3.6,0.0,     854,10.0,1.2,219.0,29.0,13.2,     139,     210,83.0,42.0,13.0,1.0,0.0,0.0,28.0,66.0,60.0,      56,13.3,86.7,127.0,633.0,633.0,         439,         282,64.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",59.0
Amherst-Pelham: Amherst Regional Middle School,06050405,Public School,Amherst,MA,01002,"07,08",Amherst-Pelham,06050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     195,     217,       0,       0,       0,       0,       0,     412,      77,  18.7,      28,   6.8,      87,  21.1,     183,  44.4, , ,7.0,7.5,17.2,61.4,0.0,0.0,6.8,51.9,47.8,0.2,     282,17.2,        420,41.7,90.4,   9.9 to 1,79.8,95.2,82.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         168,54.0,          32,10.0,         136,43.0,          99,32.0,          47,15.0,         314,79.0,499.0,55.0,         152,67.0,         136,41.0,          38,11.0,          98,29.0,         140,42.0,          58,17.0,         334,84.0,495.0,51.0,         156,56.0,Low participation rate,41.0
Andover: Andover High,00090505,Public School,Andover,MA,01810,"09,10,11,12",Andover,00090000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     420,     416,     415,     393,      35,"   1,679",     246,  14.7,      10,   0.6,     308,  18.3,     466,  27.8, , ,2.9,19.5,8.0,66.6,0.4,0.1,2.7,49.0,50.7,0.3,     995,14.8,"      1,677",128.1,98.6,  13.1 to 1,89.6,97.0,95.6,402.0,93.3,6.2,0.0,0.0,0.5,0.0,"   1,644",3.0,0.2,379.0,379.0,100.0,     506,"   1,005",206.0,167.0,82.0,39.0,12.0,55.0,171.0,257.0,288.0,     234,22.5,77.5,402.0,611.0,619.0,         810,         639,78.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",84.0
Andover: Andover West Middle,00090310,Public School,Andover,MA,01810,"06,07,08",Andover,00090000,Public School District,       0,       0,       0,       0,       0,       0,       0,     165,     181,     184,       0,       0,       0,       0,       0,     530,      84,  15.8,       8,   1.5,     118,  22.3,     191,  36.0, , ,3.2,17.7,7.9,68.9,0.2,0.0,2.1,48.7,51.1,0.2,     313,18.1,        537,51.4,100.0,  10.3 to 1,95.7,99.1,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         324,62.0,          61,12.0,         263,50.0,         166,32.0,          34,6.0,         524,100.0,506.0,56.0,         505,86.0,         368,70.0,         118,23.0,         250,48.0,         126,24.0,          28,5.0,         522,99.0,511.0,62.0,         505,93.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",92.0
Andover: Bancroft Elementary,00090003,Public School,Andover,MA,01810,"K,01,02,03,04,05",Andover,00090000,Public School District,       0,      64,      75,      82,      98,     102,      93,       0,       0,       0,       0,       0,       0,       0,       0,     514,      58,  11.3,      15,   2.9,      94,  18.3,     133,  25.9, , ,1.2,8.4,7.8,76.7,0.0,0.0,6.0,50.8,49.2,0.0,     189,19.3,        523,47.0,100.0,  10.9 to 1,81.4,99.2,98.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         187,64.0,          42,14.0,         145,50.0,          92,32.0,          11,4.0,         290,99.0,507.0,63.0,         184,88.0,         148,51.0,          27,9.0,         121,42.0,         114,39.0,          29,10.0,         291,100.0,500.0,62.0,         184,70.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",87.0
Andover: Doherty Middle,00090305,Public School,Andover,MA,01810,"06,07,08",Andover,00090000,Public School District,       0,       0,       0,       0,       0,       0,       0,     158,     149,     148,       0,       0,       0,       0,       0,     455,      52,  11.4,       4,   0.9,      84,  18.5,     121,  26.6, , ,1.3,11.4,8.8,75.4,0.0,0.0,3.1,48.4,51.6,0.0,     301,16.0,        458,48.5,100.0,   9.4 to 1,91.8,99.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         301,67.0,          77,17.0,         224,50.0,         123,27.0,          28,6.0,         452,100.0,509.0,61.0,         425,93.0,         294,65.0,          74,16.0,         220,49.0,         135,30.0,          23,5.0,         452,100.0,509.0,62.0,         425,90.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",88.0
